"","AIANNHCE","AIANNHNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","COMPTYP","AIANNHR","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"72","3355","00024000","3355R","San Carlos","San Carlos Reservation","86","D2","R","F","G2101","A",7517999481,62683513,"+33.3368506","-110.1348670"
"73","4235","00032748","4235R","Tonto Apache","Tonto Apache Reservation","86","D8","R","F","G2101","A",391177,0,"+34.2209433","-111.3283728"
"74","4180","02419492","4180R","Timbi-Sha Shoshone","Timbi-Sha Shoshone Reservation","86","D8","R","F","G2101","A",31762611,0,"+37.4456367","-117.5247411"
"75","2570","00979312","2570R","Onondaga Nation","Onondaga Nation Reservation","86","D2","R","F","G2101","A",23950720,119791,"+42.9265084","-076.1532237"
"76","3280","00463420","3280R","Sac and Fox/Meskwaki","Sac and Fox/Meskwaki Settlement","9D","D8","R","F","G2101","A",25809806,0,"+41.9804320","-092.6498080"
"77","3780","01508317","3780R","Shoalwater Bay","Shoalwater Bay Indian Reservation","96","D8","R","F","G2101","A",2693648,644402,"+46.7214629","-124.0291958"
"78","2595","01100113","2595R","Osage","Osage Reservation","86","D2","R","F","G2101","A",5818031028,149245174,"+36.6242995","-096.4081119"
"79","3970","01934335","3970R","Standing Rock","Standing Rock Reservation","86","D2","R","F","G2101","A",9242206285,243966173,"+45.8714090","-101.1812042"
"80","3540","00249132","3540R","Santa Ynez","Santa Ynez Reservation","86","D2","R","F","G2101","A",629387,0,"+34.6027327","-120.0914175"
"81","3320","00979449","3320R","St. Regis Mohawk","St. Regis Mohawk Reservation","86","D2","R","F","G2101","A",49055458,5306037,"+44.9787065","-074.6430750"
"82","1690","02453210","1690R","Jena Band of Choctaw","Jena Band of Choctaw Reservation","86","D2","R","F","G2101","A",262652,0,"+31.4381024","-092.4978241"
"83","2145","00212541","2145R","Mashantucket Pequot","Mashantucket Pequot Reservation","86","D8","R","F","G2101","A",5454687,0,"+41.4660535","-071.9747027"
